时间,容量
20200404:00:00,74.37
20200404:00:10,74.37
20200404:00:20,74.39
20200404:00:30,74.39
20200404:00:40,74.39
20200404:00:50,74.39
20200404:01:00,74.39
20200404:01:10,74.39
20200404:01:20,74.39
20200404:01:30,74.4
20200404:01:40,74.4
20200404:01:50,74.41
20200404:02:00,74.38
20200404:02:10,74.38
20200404:02:20,74.38
20200404:02:30,74.38
20200404:02:40,74.38
20200404:02:50,74.39
20200404:03:00,74.38
20200404:03:10,74.38
20200404:03:20,74.39
20200404:03:30,74.39
20200404:03:40,74.38
20200404:03:50,74.38
20200404:04:00,74.38
20200404:04:10,74.38
20200404:04:20,74.38
20200404:04:30,74.38
20200404:04:40,74.39
20200404:04:50,74.38
20200404:05:00,74.39
20200404:05:10,74.38
20200404:05:20,74.39
20200404:05:30,74.39
20200404:05:40,74.39
20200404:05:50,74.39
20200404:06:00,74.39
20200404:06:10,74.39
20200404:06:20,74.38
20200404:06:30,74.39
20200404:06:40,74.38
20200404:06:50,74.39
20200404:07:00,74.39
20200404:07:10,74.39
20200404:07:20,74.39
20200404:07:30,74.39
20200404:07:40,74.39
20200404:07:50,74.39
20200404:08:00,74.39
20200404:08:10,74.39
20200404:08:20,74.38
20200404:08:30,74.38
20200404:08:40,74.38
20200404:08:50,74.38
20200404:09:00,74.38
20200404:09:10,74.38
20200404:09:20,74.38
20200404:09:30,74.38
20200404:09:40,74.39
20200404:09:50,74.38
20200404:10:00,74.38
20200404:10:10,74.38
20200404:10:20,74.38
20200404:10:30,74.38
20200404:10:40,74.38
20200404:10:50,74.38
20200404:11:00,74.38
20200404:11:10,74.38
20200404:11:20,74.38
20200404:11:30,74.38
20200404:11:40,74.38
20200404:11:50,74.38
20200404:12:00,74.38
20200404:12:10,74.38
20200404:12:20,74.39
20200404:12:30,74.39
20200404:12:40,74.38
20200404:12:50,74.38
20200404:13:00,74.38
20200404:13:10,74.38
20200404:13:20,74.39
20200404:13:30,74.38
20200404:13:40,74.38
20200404:13:50,74.38
20200404:14:00,74.38
20200404:14:10,74.38
20200404:14:20,74.38
20200404:14:30,74.38
20200404:14:40,74.38
20200404:14:50,74.38
20200404:15:00,74.38
20200404:15:10,74.38
20200404:15:20,74.38
20200404:15:30,74.38
20200404:15:40,74.38
20200404:15:50,74.38
20200404:16:00,74.38
20200404:16:10,74.38
20200404:16:20,74.38
20200404:16:30,74.38
20200404:16:40,74.38
20200404:16:50,74.38
20200404:17:00,74.38
20200404:17:10,74.38
20200404:17:20,74.38
20200404:17:30,74.38
20200404:17:40,74.38
20200404:17:50,74.38
20200404:18:00,74.38
20200404:18:10,74.38
20200404:18:20,74.38
20200404:18:30,74.38
20200404:18:40,74.38
20200404:18:50,74.38
20200404:19:00,74.38
20200404:19:10,74.38
20200404:19:20,74.38
20200404:19:30,74.38
20200404:19:40,74.38
20200404:19:50,74.38
20200404:20:00,74.38
20200404:20:10,74.38
20200404:20:20,74.38
20200404:20:30,74.38
20200404:20:40,74.38
20200404:20:50,74.38
20200404:21:00,74.38
20200404:21:10,74.38
20200404:21:20,74.38
20200404:21:30,74.38
20200404:21:40,74.38
20200404:21:50,74.38
20200404:22:00,74.38
20200404:22:10,74.38
20200404:22:20,74.38
20200404:22:30,74.38
20200404:22:40,74.38
20200404:22:50,74.38
20200404:23:00,74.38
20200404:23:10,74.38
20200404:23:20,74.39
20200404:23:30,74.38
20200404:23:40,74.38
20200404:23:50,74.38
20200405:00:00,74.39
20200405:00:10,74.39
20200405:00:20,74.4
20200405:00:30,74.4
20200405:00:40,74.4
20200405:00:50,74.4
20200405:01:00,74.4
20200405:01:10,74.4
20200405:01:20,74.41
20200405:01:30,74.41
20200405:01:40,74.42
20200405:01:50,74.4
20200405:02:00,74.4
20200405:02:10,74.4
20200405:02:20,74.39
20200405:02:30,74.39
20200405:02:40,74.4
20200405:02:50,74.4
20200405:03:00,74.4
20200405:03:10,74.4
20200405:03:20,74.4
20200405:03:30,74.4
20200405:03:40,74.39
20200405:03:50,74.39
20200405:04:00,74.39
20200405:04:10,74.39
20200405:04:20,74.39
20200405:04:30,74.4
20200405:04:40,74.4
20200405:04:50,74.4
20200405:05:00,74.4
20200405:05:10,74.4
20200405:05:20,74.4
20200405:05:30,74.4
20200405:05:40,74.4
20200405:05:50,74.4
20200405:06:00,74.39
20200405:06:10,74.39
20200405:06:20,74.39
20200405:06:30,74.39
20200405:06:40,74.39
20200405:06:50,74.39
20200405:07:00,74.39
20200405:07:10,74.39
20200405:07:20,74.39
20200405:07:30,74.39
20200405:07:40,74.39
20200405:07:50,74.39
20200405:08:00,74.39
20200405:08:10,74.39
20200405:08:20,74.39
20200405:08:30,74.39
20200405:08:40,74.39
20200405:08:50,74.39
20200405:09:00,74.39
20200405:09:10,74.39
20200405:09:20,74.39
20200405:09:30,74.39
20200405:09:40,74.39
20200405:09:50,74.39
20200405:10:00,74.39
20200405:10:10,74.39
20200405:10:20,74.39
20200405:10:30,74.39
20200405:10:40,74.39
20200405:10:50,74.39
20200405:11:00,74.39
20200405:11:10,74.39
20200405:11:20,74.39
20200405:11:30,74.39
20200405:11:40,74.39
20200405:11:50,74.39
20200405:12:00,74.39
20200405:12:10,74.39
20200405:12:20,74.39
20200405:12:30,74.39
20200405:12:40,74.39
20200405:12:50,74.39
20200405:13:00,74.39
20200405:13:10,74.39
20200405:13:20,74.39
20200405:13:30,74.39
20200405:13:40,74.39
20200405:13:50,74.39
20200405:14:00,74.39
20200405:14:10,74.39
20200405:14:20,74.39
20200405:14:30,74.39
20200405:14:40,74.39
20200405:14:50,74.39
20200405:15:00,74.39
20200405:15:10,74.39
20200405:15:20,74.39
20200405:15:30,74.39
20200405:15:40,74.39
20200405:15:50,74.39
20200405:16:00,74.39
20200405:16:10,74.4
20200405:16:20,74.39
20200405:16:30,74.39
20200405:16:40,74.39
20200405:16:50,74.39
20200405:17:00,74.4
20200405:17:10,74.39
20200405:17:20,74.39
20200405:17:30,74.39
20200405:17:40,74.39
20200405:17:50,74.39
20200405:18:00,74.39
20200405:18:10,74.39
20200405:18:20,74.39
20200405:18:30,74.39
20200405:18:40,74.39
20200405:18:50,74.39
20200405:19:00,74.39
20200405:19:10,74.39
20200405:19:20,74.39
20200405:19:30,74.39
20200405:19:40,74.39
20200405:19:50,74.39
20200405:20:00,74.39
20200405:20:10,74.39
20200405:20:20,74.39
20200405:20:30,74.39
20200405:20:40,74.39
20200405:20:50,74.39
20200405:21:00,74.39
20200405:21:10,74.39
20200405:21:20,74.39
20200405:21:30,74.39
20200405:21:40,74.39
20200405:21:50,74.39
20200405:22:00,74.39
20200405:22:10,74.39
20200405:22:20,74.39
20200405:22:30,74.39
20200405:22:40,74.39
20200405:22:50,74.39
20200405:23:00,74.39
20200405:23:10,74.39
20200405:23:20,74.39
20200405:23:30,74.39
20200405:23:40,74.39
20200405:23:50,74.39
20200406:00:00,74.39
20200406:00:10,74.4
20200406:00:20,74.4
20200406:00:30,74.4
20200406:00:40,74.4
20200406:00:50,74.39
20200406:01:00,74.39
20200406:01:10,74.4
20200406:01:20,74.4
20200406:01:30,74.39
20200406:01:40,74.4
20200406:01:50,74.39
20200406:02:00,74.4
20200406:02:10,74.39
20200406:02:20,74.39
20200406:02:30,74.39
20200406:02:40,74.39
20200406:02:50,74.39
20200406:03:00,74.4
20200406:03:10,74.4
20200406:03:20,74.4
20200406:03:30,74.4
20200406:03:40,74.4
20200406:03:50,74.4
20200406:04:00,74.4
20200406:04:10,74.4
20200406:04:20,74.4
20200406:04:30,74.4
20200406:04:40,74.4
20200406:04:50,74.4
20200406:05:00,74.4
20200406:05:10,74.4
20200406:05:20,74.4
20200406:05:30,74.4
20200406:05:40,74.4
20200406:05:50,74.4
20200406:06:00,74.4
20200406:06:10,74.4
20200406:06:20,74.4
20200406:06:30,74.4
20200406:06:40,74.4
20200406:06:50,74.4
20200406:07:00,74.4
20200406:07:10,74.4
20200406:07:20,74.4
20200406:07:30,74.4
20200406:07:40,74.4
20200406:07:50,74.4
20200406:08:00,74.4
20200406:08:10,74.4
20200406:08:20,74.4
20200406:08:30,74.4
20200406:08:40,74.4
20200406:08:50,74.4
20200406:09:00,74.4
20200406:09:10,74.4
20200406:09:20,74.4
20200406:09:30,74.4
20200406:09:40,74.4
20200406:09:50,74.4
20200406:10:00,74.4
20200406:10:10,74.4
20200406:10:20,74.4
20200406:10:30,74.4
20200406:10:40,74.4
20200406:10:50,74.4
20200406:11:00,74.4
20200406:11:10,74.4
20200406:11:20,74.4
20200406:11:30,74.4
20200406:11:40,74.4
20200406:11:50,74.4
20200406:12:00,74.4
20200406:12:10,74.4
20200406:12:20,74.4
20200406:12:30,74.4
20200406:12:40,74.4
20200406:12:50,74.4
20200406:13:00,74.4
20200406:13:10,74.4
20200406:13:20,74.4
20200406:13:30,74.4
20200406:13:40,74.4
20200406:13:50,74.4
20200406:14:00,74.4
20200406:14:10,74.41
20200406:14:20,74.4
20200406:14:30,74.41
20200406:14:40,74.41
20200406:14:50,74.41
20200406:15:00,74.4
20200406:15:10,74.41
20200406:15:20,74.4
20200406:15:30,74.4
20200406:15:40,74.4
20200406:15:50,74.4
20200406:16:00,74.41
20200406:16:10,74.4
20200406:16:20,74.41
20200406:16:30,74.41
20200406:16:40,74.41
20200406:16:50,74.41
20200406:17:00,74.41
20200406:17:10,74.41
20200406:17:20,74.41
20200406:17:30,74.41
20200406:17:40,74.41
20200406:17:50,74.41
20200406:18:00,74.4
20200406:18:10,74.41
20200406:18:20,74.4
20200406:18:30,74.41
20200406:18:40,74.4
20200406:18:50,74.4
20200406:19:00,74.4
20200406:19:10,74.41
20200406:19:20,74.41
20200406:19:30,74.41
20200406:19:40,74.41
20200406:19:50,74.41
20200406:20:00,74.41
20200406:20:10,74.41
20200406:20:20,74.41
20200406:20:30,74.41
20200406:20:40,74.41
20200406:20:50,74.41
20200406:21:00,74.41
20200406:21:10,74.41
20200406:21:20,74.41
20200406:21:30,74.41
20200406:21:40,74.41
20200406:21:50,74.41
20200406:22:00,74.41
20200406:22:10,74.41
20200406:22:20,74.41
20200406:22:30,74.41
20200406:22:40,74.41
20200406:22:50,74.41
20200406:23:00,74.41
20200406:23:10,74.41
20200406:23:20,74.41
20200406:23:30,74.41
20200406:23:40,74.41
20200406:23:50,74.41
20200407:00:00,74.41
20200407:00:10,74.42
20200407:00:20,74.42
20200407:00:30,74.42
20200407:00:40,74.41
20200407:00:50,74.41
20200407:01:00,74.42
20200407:01:10,74.41
20200407:01:20,74.41
20200407:01:30,74.42
20200407:01:40,74.42
20200407:01:50,74.42
20200407:02:00,74.42
20200407:02:10,74.42
20200407:02:20,74.42
20200407:02:30,74.42
20200407:02:40,74.42
20200407:02:50,74.42
20200407:03:00,74.42
20200407:03:10,74.41
20200407:03:20,74.41
20200407:03:30,74.41
20200407:03:40,74.41
20200407:03:50,74.41
20200407:04:00,74.41
20200407:04:10,74.41
20200407:04:20,74.41
20200407:04:30,74.41
20200407:04:40,74.41
20200407:04:50,74.41
20200407:05:00,74.41
20200407:05:10,74.41
20200407:05:20,74.41
20200407:05:30,74.41
20200407:05:40,74.41
20200407:05:50,74.41
20200407:06:00,74.41
20200407:06:10,74.41
20200407:06:20,74.41
20200407:06:30,74.41
20200407:06:40,74.41
20200407:06:50,74.41
20200407:07:00,74.41
20200407:07:10,74.41
20200407:07:20,74.41
