时间,容量
20200404:00:00,32.7
20200404:00:10,32.65
20200404:00:20,32.65
20200404:00:30,32.65
20200404:00:40,32.65
20200404:00:50,32.65
20200404:01:00,32.65
20200404:01:10,32.65
20200404:01:20,32.65
20200404:01:30,32.65
20200404:01:40,32.65
20200404:01:50,32.65
20200404:02:00,32.65
20200404:02:10,32.65
20200404:02:20,32.65
20200404:02:30,32.65
20200404:02:40,32.65
20200404:02:50,32.65
20200404:03:00,32.65
20200404:03:10,32.65
20200404:03:20,32.65
20200404:03:30,32.65
20200404:03:40,32.65
20200404:03:50,32.65
20200404:04:00,32.65
20200404:04:10,32.65
20200404:04:20,32.65
20200404:04:30,32.65
20200404:04:40,32.65
20200404:04:50,32.65
20200404:05:00,32.65
20200404:05:10,32.65
20200404:05:20,32.65
20200404:05:30,32.65
20200404:05:40,32.65
20200404:05:50,32.65
20200404:06:00,32.65
20200404:06:10,32.65
20200404:06:20,32.65
20200404:06:30,32.65
20200404:06:40,32.65
20200404:06:50,32.65
20200404:07:00,32.65
20200404:07:10,32.65
20200404:07:20,32.65
20200404:07:30,32.65
20200404:07:40,32.65
20200404:07:50,32.65
20200404:08:00,32.65
20200404:08:10,32.65
20200404:08:20,32.65
20200404:08:30,32.65
20200404:08:40,32.65
20200404:08:50,32.65
20200404:09:00,32.65
20200404:09:10,32.65
20200404:09:20,32.65
20200404:09:30,32.65
20200404:09:40,32.65
20200404:09:50,32.65
20200404:10:00,32.65
20200404:10:10,32.65
20200404:10:20,32.65
20200404:10:30,32.65
20200404:10:40,32.65
20200404:10:50,32.65
20200404:11:00,32.65
20200404:11:10,32.65
20200404:11:20,32.65
20200404:11:30,32.65
20200404:11:40,32.65
20200404:11:50,32.65
20200404:12:00,32.65
20200404:12:10,32.65
20200404:12:20,32.65
20200404:12:30,32.65
20200404:12:40,32.65
20200404:12:50,32.65
20200404:13:00,32.65
20200404:13:10,32.65
20200404:13:20,32.65
20200404:13:30,32.65
20200404:13:40,32.65
20200404:13:50,32.65
20200404:14:00,32.65
20200404:14:10,32.65
20200404:14:20,32.65
20200404:14:30,32.65
20200404:14:40,32.65
20200404:14:50,32.65
20200404:15:00,32.65
20200404:15:10,32.65
20200404:15:20,32.65
20200404:15:30,32.65
20200404:15:40,32.65
20200404:15:50,32.65
20200404:16:00,32.65
20200404:16:10,32.65
20200404:16:20,32.65
20200404:16:30,32.65
20200404:16:40,32.65
20200404:16:50,32.65
20200404:17:00,32.65
20200404:17:10,32.65
20200404:17:20,32.65
20200404:17:30,32.65
20200404:17:40,32.65
20200404:17:50,32.65
20200404:18:00,32.65
20200404:18:10,32.65
20200404:18:20,32.65
20200404:18:30,32.65
20200404:18:40,32.65
20200404:18:50,32.65
20200404:19:00,32.65
20200404:19:10,32.65
20200404:19:20,32.65
20200404:19:30,32.65
20200404:19:40,32.65
20200404:19:50,32.65
20200404:20:00,32.65
20200404:20:10,32.65
20200404:20:20,32.65
20200404:20:30,32.65
20200404:20:40,32.65
20200404:20:50,32.65
20200404:21:00,32.65
20200404:21:10,32.65
20200404:21:20,32.65
20200404:21:30,32.65
20200404:21:40,32.65
20200404:21:50,32.66
20200404:22:00,32.66
20200404:22:10,32.66
20200404:22:20,32.66
20200404:22:30,32.66
20200404:22:40,32.66
20200404:22:50,32.66
20200404:23:00,32.66
20200404:23:10,32.66
20200404:23:20,32.66
20200404:23:30,32.66
20200404:23:40,32.66
20200404:23:50,32.66
20200405:00:00,32.65
20200405:00:10,32.65
20200405:00:20,32.65
20200405:00:30,32.65
20200405:00:40,32.65
20200405:00:50,32.65
20200405:01:00,32.65
20200405:01:10,32.65
20200405:01:20,32.65
20200405:01:30,32.65
20200405:01:40,32.65
20200405:01:50,32.65
20200405:02:00,32.65
20200405:02:10,32.65
20200405:02:20,32.65
20200405:02:30,32.65
20200405:02:40,32.65
20200405:02:50,32.65
20200405:03:00,32.65
20200405:03:10,32.65
20200405:03:20,32.65
20200405:03:30,32.65
20200405:03:40,32.65
20200405:03:50,32.65
20200405:04:00,32.65
20200405:04:10,32.65
20200405:04:20,32.65
20200405:04:30,32.65
20200405:04:40,32.65
20200405:04:50,32.65
20200405:05:00,32.65
20200405:05:10,32.65
20200405:05:20,32.65
20200405:05:30,32.65
20200405:05:40,32.65
20200405:05:50,32.65
20200405:06:00,32.65
20200405:06:10,32.65
20200405:06:20,32.65
20200405:06:30,32.65
20200405:06:40,32.65
20200405:06:50,32.65
20200405:07:00,32.65
20200405:07:10,32.65
20200405:07:20,32.65
20200405:07:30,32.65
20200405:07:40,32.65
20200405:07:50,32.65
20200405:08:00,32.65
20200405:08:10,32.65
20200405:08:20,32.65
20200405:08:30,32.65
20200405:08:40,32.65
20200405:08:50,32.65
20200405:09:00,32.65
20200405:09:10,32.65
20200405:09:20,32.65
20200405:09:30,32.65
20200405:09:40,32.65
20200405:09:50,32.65
20200405:10:00,32.65
20200405:10:10,32.65
20200405:10:20,32.65
20200405:10:30,32.65
20200405:10:40,32.65
20200405:10:50,32.65
20200405:11:00,32.65
20200405:11:10,32.65
20200405:11:20,32.65
20200405:11:30,32.65
20200405:11:40,32.65
20200405:11:50,32.65
20200405:12:00,32.65
20200405:12:10,32.65
20200405:12:20,32.65
20200405:12:30,32.65
20200405:12:40,32.65
20200405:12:50,32.65
20200405:13:00,32.65
20200405:13:10,32.65
20200405:13:20,32.65
20200405:13:30,32.65
20200405:13:40,32.65
20200405:13:50,32.65
20200405:14:00,32.65
20200405:14:10,32.65
20200405:14:20,32.65
20200405:14:30,32.65
20200405:14:40,32.65
20200405:14:50,32.65
20200405:15:00,32.65
20200405:15:10,32.65
20200405:15:20,32.65
20200405:15:30,32.65
20200405:15:40,32.65
20200405:15:50,32.65
20200405:16:00,32.65
20200405:16:10,32.65
20200405:16:20,32.65
20200405:16:30,32.65
20200405:16:40,32.65
20200405:16:50,32.65
20200405:17:00,32.65
20200405:17:10,32.65
20200405:17:20,32.65
20200405:17:30,32.65
20200405:17:40,32.65
20200405:17:50,32.65
20200405:18:00,32.65
20200405:18:10,32.65
20200405:18:20,32.65
20200405:18:30,32.65
20200405:18:40,32.65
20200405:18:50,32.65
20200405:19:00,32.65
20200405:19:10,32.65
20200405:19:20,32.65
20200405:19:30,32.65
20200405:19:40,32.65
20200405:19:50,32.65
20200405:20:00,32.65
20200405:20:10,32.65
20200405:20:20,32.65
20200405:20:30,32.65
20200405:20:40,32.65
20200405:20:50,32.65
20200405:21:00,32.65
20200405:21:10,32.65
20200405:21:20,32.65
20200405:21:30,32.65
20200405:21:40,32.65
20200405:21:50,32.65
20200405:22:00,32.65
20200405:22:10,32.65
20200405:22:20,32.65
20200405:22:30,32.65
20200405:22:40,32.65
20200405:22:50,32.65
20200405:23:00,32.65
20200405:23:10,32.65
20200405:23:20,32.65
20200405:23:30,32.65
20200405:23:40,32.65
20200405:23:50,32.65
20200406:00:00,32.64
20200406:00:10,32.64
20200406:00:20,32.64
20200406:00:30,32.64
20200406:00:40,32.64
20200406:00:50,32.64
20200406:01:00,32.64
20200406:01:10,32.64
20200406:01:20,32.64
20200406:01:30,32.64
20200406:01:40,32.64
20200406:01:50,32.64
20200406:02:00,32.64
20200406:02:10,32.64
20200406:02:20,32.64
20200406:02:30,32.64
20200406:02:40,32.64
20200406:02:50,32.64
20200406:03:00,32.64
20200406:03:10,32.64
20200406:03:20,32.64
20200406:03:30,32.64
20200406:03:40,32.64
20200406:03:50,32.64
20200406:04:00,32.64
20200406:04:10,32.64
20200406:04:20,32.64
20200406:04:30,32.64
20200406:04:40,32.64
20200406:04:50,32.64
20200406:05:00,32.64
20200406:05:10,32.64
20200406:05:20,32.64
20200406:05:30,32.64
20200406:05:40,32.64
20200406:05:50,32.64
20200406:06:00,32.64
20200406:06:10,32.64
20200406:06:20,32.64
20200406:06:30,32.64
20200406:06:40,32.64
20200406:06:50,32.64
20200406:07:00,32.64
20200406:07:10,32.64
20200406:07:20,32.64
20200406:07:30,32.64
20200406:07:40,32.64
20200406:07:50,32.64
20200406:08:00,32.64
20200406:08:10,32.64
20200406:08:20,32.64
20200406:08:30,32.64
20200406:08:40,32.64
20200406:08:50,32.64
20200406:09:00,32.64
20200406:09:10,32.64
20200406:09:20,32.64
20200406:09:30,32.64
20200406:09:40,32.64
20200406:09:50,32.64
20200406:10:00,32.64
20200406:10:10,32.64
20200406:10:20,32.64
20200406:10:30,32.64
20200406:10:40,32.64
20200406:10:50,32.64
20200406:11:00,32.64
20200406:11:10,32.64
20200406:11:20,32.64
20200406:11:30,32.64
20200406:11:40,32.64
20200406:11:50,32.64
20200406:12:00,32.64
20200406:12:10,32.64
20200406:12:20,32.64
20200406:12:30,32.64
20200406:12:40,32.64
20200406:12:50,32.64
20200406:13:00,32.64
20200406:13:10,32.64
20200406:13:20,32.64
20200406:13:30,32.64
20200406:13:40,32.64
20200406:13:50,32.64
20200406:14:00,32.64
20200406:14:10,32.64
20200406:14:20,32.64
20200406:14:30,32.64
20200406:14:40,32.64
20200406:14:50,32.64
20200406:15:00,32.64
20200406:15:10,32.64
20200406:15:20,32.64
20200406:15:30,32.64
20200406:15:40,32.64
20200406:15:50,32.64
20200406:16:00,32.64
20200406:16:10,32.64
20200406:16:20,32.64
20200406:16:30,32.64
20200406:16:40,32.64
20200406:16:50,32.64
20200406:17:00,32.64
20200406:17:10,32.64
20200406:17:20,32.64
20200406:17:30,32.64
20200406:17:40,32.64
20200406:17:50,32.64
20200406:18:00,32.64
20200406:18:10,32.64
20200406:18:20,32.64
20200406:18:30,32.64
20200406:18:40,32.64
20200406:18:50,32.64
20200406:19:00,32.64
20200406:19:10,32.64
20200406:19:20,32.64
20200406:19:30,32.64
20200406:19:40,32.64
20200406:19:50,32.64
20200406:20:00,32.64
20200406:20:10,32.64
20200406:20:20,32.64
