时间,容量
2019-11-13:00,801025374.9415555
2019-11-13:02,803159605.8681527
2019-11-13:04,804514098.5656807
2019-11-13:06,805981491.8510975
2019-11-13:08,807572722.8254168
2019-11-13:10,808003800.265333
2019-11-13:12,808693400.7983612
2019-11-13:14,808767526.9967363
2019-11-13:16,808812057.8405968
2019-11-13:18,808831289.4055415
2019-11-13:20,808849408.8002642
2019-11-13:22,808989439.959403
2019-11-14:00,810027889.4581946
2019-11-14:02,812472017.5790553
2019-11-14:04,813745522.8911668
2019-11-14:06,814965074.9658474
2019-11-14:08,816126484.3533473
2019-11-14:10,816763544.1176664
2019-11-14:12,817458313.1165695
2019-11-14:14,817532965.5752362
2019-11-14:16,817577559.0426668
2019-11-14:18,817596491.4940835
2019-11-14:20,817614309.8339306
2019-11-14:22,817750114.4769483
2019-11-15:00,819023501.8854244
2019-11-15:02,821146218.1103334
2019-11-15:04,821925389.8338006
2019-11-15:06,1920306174.3525
2019-11-15:08,1920764613.2597227
2019-11-15:10,1921052033.2652774
2019-11-15:12,1921312867.3913887
2019-11-15:14,1921563168.5761113
2019-11-15:16,1921787135.6327775
2019-11-15:18,1921987274.9516664
2019-11-15:20,1922184761.6030555
2019-11-15:22,1922393359.5225
2019-11-16:00,1922619283.3858333
2019-11-16:02,1922855554.790556
2019-11-16:04,1923082975.6577785
2019-11-16:06,1923306609.7666671
2019-11-16:08,1923524753.5694442
2019-11-16:10,1923746404.7175
2019-11-16:12,1923974048.3844445
2019-11-16:14,1924196198.1911113
2019-11-16:16,1924402601.4736109
2019-11-16:18,1924597551.2172227
2019-11-16:20,1924790529.9411108
2019-11-16:22,1924990210.3608332
2019-11-17:00,1925203164.4425004
2019-11-17:02,1925432292.9922225
2019-11-17:04,1925653114.8436112
2019-11-17:06,1925881047.2788887
2019-11-17:08,1926104004.958056
2019-11-17:10,1926330643.3094442
2019-11-17:12,1926555524.5375004
2019-11-17:14,1926780237.0677774
2019-11-17:16,1926989180.5066671
2019-11-17:18,1927183843.1391664
2019-11-17:20,1927376710.1258333
2019-11-17:22,1927580249.461389
2019-11-18:00,1927898694.5936112
2019-11-18:02,1928812981.0147219
2019-11-18:04,1929463046.108889
2019-11-18:06,1930221135.1130555
2019-11-18:08,1930693910.7105558
2019-11-18:10,1930992775.9438891
2019-11-18:12,1931269330.148889
2019-11-18:14,1931533900.093055
2019-11-18:16,1931762381.995833
2019-11-18:18,1931963478.5777774
2019-11-18:20,1932161540.4144444
2019-11-18:22,1932375785.9788888
2019-11-19:00,1932705261.7880352
2019-11-19:02,1933627792.4236114
2019-11-19:04,1934285162.5288887
2019-11-19:06,1935072190.3163886
2019-11-19:08,1935554303.1972227
2019-11-19:10,1935854139.5850003
2019-11-19:12,1936140704.6591668
2019-11-19:14,1936421765.8575
2019-11-19:16,1936654558.548333
2019-11-19:18,1936856128.1
2019-11-19:20,1937055439.4311109
2019-11-19:22,1937272866.0886114
2019-11-20:00,1937613343.969445
2019-11-20:02,1938555565.855
2019-11-20:04,1939212823.3419445
2019-11-20:06,1939988768.8288887
2019-11-20:08,1940447694.9555554
2019-11-20:10,1940742984.294445
2019-11-20:12,1941023081.1344445
2019-11-20:14,1941291695.2416668
2019-11-20:16,1941521981.0388892
2019-11-20:18,1941723025.2322226
2019-11-20:20,1941921762.915
2019-11-20:22,1942137388.7622228
2019-11-21:00,1942473807.7122226
2019-11-21:02,1943392767.0216672
2019-11-21:04,1944036115.4458327
2019-11-21:06,1944790516.701389
2019-11-21:08,1945249491.9533331
2019-11-21:10,1945543857.870833
2019-11-21:12,1945823086.1816664
2019-11-21:14,1946091694.3175
2019-11-21:16,1946323197.9447227
2019-11-21:18,1946525347.3786108
2019-11-21:20,1946725237.5716667
2019-11-21:22,1946942011.3347216
2019-11-22:00,1947275236.7563891
2019-11-22:02,1948193594.7183328
2019-11-22:04,1948860105.2019448
2019-11-22:06,1949639406.2894442
2019-11-22:08,1950093245.9691665
2019-11-22:10,1950376952.7647226
2019-11-22:12,1950642397.1455555
2019-11-22:14,1950900174.958611
2019-11-22:16,1951126994.8886113
2019-11-22:18,1951328527.5925
2019-11-22:20,1951527090.7305558
2019-11-22:22,1951735961.2881672
2019-11-23:00,1951963536.2841668
2019-11-23:02,1952213538.0175
2019-11-23:04,1952443198.1605558
2019-11-23:06,1952664962.3583329
2019-11-23:08,1952888869.1480556
2019-11-23:10,1953112712.8702781
2019-11-23:12,1953333393.7008328
2019-11-23:14,1953551244.9944446
2019-11-23:16,1953758938.3486109
2019-11-23:18,1953955353.3966668
2019-11-23:20,1954149724.4875
2019-11-23:22,1954350187.3677773
2019-11-24:00,1954563119.5586114
2019-11-24:02,1954782863.2647226
2019-11-24:04,1955002058.351111
2019-11-24:06,1955227417.735556
2019-11-24:08,1955452195.1136112
2019-11-24:10,1955673588.028056
2019-11-24:12,1955905993.1963887
2019-11-24:14,1956134041.0111113
2019-11-24:16,1956344254.9997227
2019-11-24:18,1956540226.3113887
2019-11-24:20,1956734362.1911108
2019-11-24:22,1956938839.2041664
2019-11-25:00,1957258123.7300005
2019-11-25:02,1958201336.0263886
2019-11-25:04,1958862074.1955554
2019-11-25:06,1959635920.0341668
2019-11-25:08,1960109881.7836113
2019-11-25:10,1960407541.0972226
2019-11-25:12,1960689698.3652773
2019-11-25:14,1960956593.551945
2019-11-25:16,1961187505.7961113
2019-11-25:18,1961388641.4577773
2019-11-25:20,1961587111.2177773
2019-11-25:22,1961801545.266111
2019-11-26:00,1962146717.807222
2019-11-26:02,1963101483.4113886
2019-11-26:04,1963744831.0272226
2019-11-26:06,1964517053.6191664
2019-11-26:08,1964988126.7041671
2019-11-26:10,1965298380.691389
2019-11-26:12,1965582022.7166667
2019-11-26:14,1965848919.5102782
2019-11-26:16,1966079956.7430558
2019-11-26:18,1966281391.9744442
2019-11-26:20,1966479941.0016663
2019-11-26:22,1966694902.3425
2019-11-27:00,1967026402.745833
2019-11-27:02,1967939228.3183331
2019-11-27:04,1968589634.0613887
2019-11-27:06,1969358782.9402773
2019-11-27:08,1969815634.6227782
2019-11-27:10,1970108870.4500003
2019-11-27:12,1970387906.4275005
2019-11-27:14,1970650719.8280559
2019-11-27:16,1970879372.5808332
2019-11-27:18,1971079864.2577775
2019-11-27:20,1971278074.6547227
2019-11-27:22,1971491559.2244449
2019-11-28:00,1971819232.954434
2019-11-28:02,1972724823.233055
2019-11-28:04,1973362097.4113886
2019-11-28:06,1974108218.8686109
2019-11-28:08,1974556272.44488
2019-11-28:10,1974845424.6294448
2019-11-28:12,1975120973.4977775
2019-11-28:14,1975379406.1747227
2019-11-28:16,1975604583.2041664
2019-11-28:18,1975806669.9369445
2019-11-28:20,1976005812.7955558
2019-11-28:22,1976218418.4308329
2019-11-29:00,1976536896.0255554
2019-11-29:02,1977398222.3666663
2019-11-29:04,1978021291.7283328
2019-11-29:06,1978767202.243612
2019-11-29:08,1979215346.4897218
2019-11-29:10,1979503633.144445
2019-11-29:12,1979768384.7686114
2019-11-29:14,1980021007.5313888
2019-11-29:16,1980246554.2797227
2019-11-29:18,1980448772.0733328
2019-11-29:20,1980646805.946111
2019-11-29:22,1980854185.7808335
2019-11-30:00,1981080630.2255054
2019-11-30:02,1981326886.566389
2019-11-30:04,1981569742.8180559
2019-11-30:06,1981795949.3280559
2019-11-30:08,1982017336.2644446
2019-11-30:10,1982236215.8358333
2019-11-30:12,1982456310.7569442
2019-11-30:14,1982674737.2444446
2019-11-30:16,1982883026.7547219
2019-11-30:18,1983080301.82
2019-11-30:20,1983275326.1177773
2019-11-30:22,1983475162.6355557
2019-12-01:00,1983687730.1038888
2019-12-01:02,1983907439.3236113
2019-12-01:04,1984130986.15
2019-12-01:06,1984358563.6644444
2019-12-01:08,1984584172.6480558
2019-12-01:10,1984812686.4566665
2019-12-01:12,1985040708.5780559
2019-12-01:14,1985267934.9558327
2019-12-01:16,1985478928.3897226
2019-12-01:18,1985676051.5333333
2019-12-01:20,1985871360.0019445
2019-12-01:22,1986076394.780894
2019-12-02:00,1986397012.600556
2019-12-02:02,1987314428.5313888
2019-12-02:04,1987963001.9125
2019-12-02:06,1988713595.9877772
2019-12-02:08,1989170530.511111
2019-12-02:10,1989457476.2608333
2019-12-02:12,1989726567.6402774
2019-12-02:14,1989989023.6588886
2019-12-02:16,1990217687.5055554
2019-12-02:18,1990418446.331389
2019-12-02:20,1990616640.0538886
2019-12-02:22,1990829417.484722
2019-12-03:00,1991154647.7397218
2019-12-03:02,1992040621.7766664
2019-12-03:04,1992669270.4875
2019-12-03:06,1993442550.2516663
2019-12-03:08,1993909502.4652781
2019-12-03:10,1994196633.8222227
2019-12-03:12,1994470673.4922225
2019-12-03:14,1994744344.2047226
2019-12-03:16,1994978281.5533333
2019-12-03:18,1995180797.4166672
2019-12-03:20,1995381088.755
2019-12-03:22,1995597576.4930558
2019-12-04:00,1995924783.664722
2019-12-04:02,1996833672.3316677
2019-12-04:04,1997478988.9494445
2019-12-04:06,1998235750.7797227
2019-12-04:08,1998689924.3208327
2019-12-04:10,1998982507.0913887
2019-12-04:12,1999262713.3833337
2019-12-04:14,1999529113.8991663
2019-12-04:16,1999758843.5838888
2019-12-04:18,1999959616.477222
2019-12-04:20,2000158245.800556
2019-12-04:22,2000371568.386111
2019-12-05:00,2000696981.8080552
2019-12-05:02,2001606243.8627772
2019-12-05:04,1260906665.4035413
2019-12-05:06,581908852.9081365
2019-12-05:08,582510720.3128017
2019-12-05:10,583133726.3674399
2019-12-05:12,584040828.2240827
2019-12-05:14,584140290.2239258
2019-12-05:16,584196042.3476022
2019-12-05:18,584215891.2253011
2019-12-05:20,584233794.1935402
2019-12-05:22,584386213.8375032
2019-12-06:00,585497114.0440122
2019-12-06:02,587879616.9468818
