时间,容量
2019-11-13:00,361019140.02590287
2019-11-13:02,362035692.5786528
2019-11-13:04,362682236.2810972
2019-11-13:06,363400493.5246666
2019-11-13:08,364216154.86929166
2019-11-13:10,364429771.85487497
2019-11-13:12,364767152.0390833
2019-11-13:14,364810313.58195823
2019-11-13:16,364840980.13109726
2019-11-13:18,364860983.55111104
2019-11-13:20,364880784.10340285
2019-11-13:22,364960478.8194977
2019-11-14:00,365503015.58229154
2019-11-14:02,366685015.2998889
2019-11-14:04,367282107.3274166
2019-11-14:06,367872011.0976113
2019-11-14:08,368488202.0748749
2019-11-14:10,368802839.5747361
2019-11-14:12,369142241.9085971
2019-11-14:14,369185055.6765416
2019-11-14:16,369215230.87701386
2019-11-14:18,369234911.8572638
2019-11-14:20,369254289.29888904
2019-11-14:22,369330428.67421967
2019-11-15:00,369964816.421499
2019-11-15:02,370990167.07423615
2019-11-15:04,371357173.95546585
2019-11-15:06,622187214.788611
2019-11-15:08,622517319.8033332
2019-11-15:10,622717738.3586111
2019-11-15:12,622894111.0355557
2019-11-15:14,623063490.7775
2019-11-15:16,623214381.7647221
2019-11-15:18,623348908.4444443
2019-11-15:20,623481759.1525
2019-11-15:22,623623587.7661111
2019-11-16:00,623777677.3344443
2019-11-16:02,623939924.3852777
2019-11-16:04,624093485.9927777
2019-11-16:06,624246460.7947223
2019-11-16:08,624392715.4716666
2019-11-16:10,624544511.8525001
2019-11-16:12,624701184.0013888
2019-11-16:14,624853326.2547222
2019-11-16:16,624994640.3191668
2019-11-16:18,625123363.7630557
2019-11-16:20,625250543.2727777
2019-11-16:22,625384214.7825
2019-11-17:00,625527329.4372222
2019-11-17:02,625684310.6147224
2019-11-17:04,625832040.6730554
2019-11-17:06,625985329.1047221
2019-11-17:08,626135812.0638888
2019-11-17:10,626288673.7986113
2019-11-17:12,626440319.9652778
2019-11-17:14,626587831.4455553
2019-11-17:16,626729557.616111
2019-11-17:18,626859251.5788889
2019-11-17:20,626988703.2016666
2019-11-17:22,627125863.4883332
2019-11-18:00,627348404.3091668
2019-11-18:02,628011989.2227777
2019-11-18:04,628434812.7805555
2019-11-18:06,628938614.635
2019-11-18:08,629222822.856111
2019-11-18:10,629380040.3363888
2019-11-18:12,629520698.7902777
2019-11-18:14,629652813.8336111
2019-11-18:16,629758055.9411111
2019-11-18:18,629842076.7208332
2019-11-18:20,629922302.4488889
2019-11-18:22,630014615.0897223
2019-11-19:00,630195517.9163772
2019-11-19:02,630831784.7736112
2019-11-19:04,631263637.113889
2019-11-19:06,631790105.5441668
2019-11-19:08,632081961.1627778
2019-11-19:10,632244678.9183332
2019-11-19:12,632408201.9141668
2019-11-19:14,632566505.2477777
2019-11-19:16,632689719.4694445
2019-11-19:18,632788861.2888888
2019-11-19:20,632888394.1277777
2019-11-19:22,633000399.085
2019-11-20:00,633202891.7402776
2019-11-20:02,633886630.955
2019-11-20:04,634368583.6438887
2019-11-20:06,634939330.9805554
2019-11-20:08,635261542.5886111
2019-11-20:10,635440522.3041668
2019-11-20:12,635600791.355
2019-11-20:14,635751357.4180554
2019-11-20:16,635874176.4283334
2019-11-20:18,635975433.8588889
2019-11-20:20,636073231.7441666
